recipe_id,servings,prep_min,cook_min,stnd_min
1082,10,20,0,0
1083,4,10,15,5
1084,6,10,30,0
1086,4,15,35,0
1087,4,10,90,0
1088,6,15,50,0
1089,6,15,95,60
1090,4,20,0,60
1091,4,10,6,0
1095,6,5,12,0
1136,4,10,18,0
1172,4,5,0,30
1092,6,20,15,120
1093,4,20,35,0
1094,6,10,8,0
1096,6,15,50,10
1097,6,20,15,120
1098,6,15,60,0
1099,8,20,85,0
1100,8,10,12,2
1101,4,25,0,120
1104,4,10,0,0
1121,6,20,0,0
1140,4,5,20,0
1380,6,5,0,0
1102,4,90,20,0
1103,4,10,20,0
1105,3,15,0,0
1106,4,15,10,0
1107,8,10,26,0
1108,4,255,10,0
1109,4,15,10,0
1110,6,15,60,0
1111,4,15,12,0
1112,4,80,0,0
1113,4,25,20,0
1138,8,20,0,180
1158,4,10,15,0
1366,6,10,25,0
1389,8,10,0,0
1114,8,15,60,0
1115,15,20,10,60
1116,4,75,12,0
1117,6,30,0,0
1118,6,85,15,0
1119,12,15,135,0
1120,4,40,12,0
1122,4,15,12,0
1123,4,25,8,120
1154,6,15,10,0
1428,4,5,10,0
1124,6,20,25,0
1125,4,20,10,0
1126,14,15,0,2880
1127,4,15,15,120
1128,2,5,10,0
1129,2,10,25,0
1130,4,15,42,0
1131,4,15,45,0
1132,4,0,3,0
1133,6,15,25,0
1134,6,20,53,0
1401,4,10,0,0
1135,6,20,40,0
1137,6,10,15,0
1139,6,20,17,0
1141,6,15,31,10
1143,2,10,30,0
1144,4,140,55,0
1145,2,15,10,0
1146,4,10,10,30
1147,6,15,20,0
1436,1,5,0,0
1148,4,15,30,5
1149,4,15,20,30
1150,2,10,30,0
1151,4,10,15,0
1152,4,10,15,0
1153,6,20,0,120
1155,4,20,5,0
1156,6,25,50,0
1157,6,20,30,0
1159,4,10,8,0
1160,4,15,30,0
1161,4,15,20,0
1162,4,5,6,0
1163,4,10,10,0
1164,6,15,15,0
1165,6,10,34,0
1167,6,15,45,0
1168,4,15,0,30
1169,4,20,0,0
1170,1,0,20,15
1171,4,10,38,0
1218,6,30,0,0
1350,2,10,0,0
1173,4,15,10,0
1174,6,15,10,0
1175,4,10,28,0
1176,4,10,10,0
1177,4,10,15,0
1178,6,15,42,0
1179,4,10,11,5
1180,4,15,10,0
1181,6,10,15,0
1182,3,15,0,0
1183,20,20,5,180
1184,4,15,15,0
1185,2,5,8,7
1186,4,15,5,0
1187,8,15,85,0
1188,2,10,25,0
1189,6,20,70,0
1190,4,10,20,180
1191,2,15,15,0
1192,6,15,20,0
1211,5,10,10,0
1392,4,5,0,0
1399,6,10,0,0
1423,8,2,15,0
1193,4,45,5,3
1194,4,15,5,0
1195,3,15,5,180
1196,3,15,16,35
1197,4,15,7,120
1198,4,15,8,0
1199,6,15,95,0
1200,4,10,12,0
1201,4,15,35,0
1202,4,75,10,0
1207,4,10,0,0
1390,4,5,0,0
1424,6,3,60,0
1203,6,15,30,0
1204,1,10,25,0
1205,6,15,12,0
1206,4,15,45,0
1208,12,25,35,0
1209,6,15,40,0
1210,4,10,20,0
1212,4,15,25,0
1214,2,10,7,60
1215,8,20,60,0
1394,6,5,0,0
1216,4,20,7,0
1217,4,20,30,0
1219,6,10,35,0
1220,4,20,12,0
1344,4,15,40,0
1345,18,30,30,0
1346,6,20,20,0
1347,6,20,0,0
1348,14,40,40,60
1349,12,90,0,480
1353,8,255,10,0
1354,6,20,0,120
1356,4,30,0,0
1359,8,30,0,0
1360,8,30,45,30
1361,8,15,0,0
1400,6,5,0,0
1372,6,10,45,0
1375,8,250,10,0
1376,4,380,35,20
1377,4,45,10,0
1381,4,370,18,0
1382,4,15,12,0
1383,4,367,20,0
1415,6,15,0,0
1384,4,370,24,0
1385,4,35,22,0
1393,8,15,0,0
1408,8,20,30,0
1409,8,150,15,240
1410,12,30,0,120
1411,10,90,12,120
1426,4,10,10,0
1427,8,10,15,0
1432,1,20,5,0
